Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,2436.100098,2449.000000,2351.000000,2363.750000,2363.750000,11133364
2021-11-23,2333.050049,2401.250000,2309.000000,2385.850098,2385.850098,11688406
2021-11-24,2380.000000,2409.899902,2343.550049,2351.399902,2351.399902,7762564
2021-11-25,2373.000000,2502.000000,2357.149902,2492.949951,2492.949951,19568487
2021-11-26,2467.800049,2477.600098,2401.500000,2412.600098,2412.600098,7274686
2021-11-29,2439.100098,2500.000000,2399.100098,2441.500000,2441.500000,11226147
2021-11-30,2468.000000,2475.899902,2388.850098,2405.399902,2405.399902,14847511
2021-12-01,2433.000000,2474.000000,2425.100098,2467.000000,2467.000000,4663276
2021-12-02,2469.699951,2496.199951,2461.600098,2482.850098,2482.850098,5870468
2021-12-03,2498.399902,2498.500000,2400.000000,2408.250000,2408.250000,8871172
2021-12-06,2416.000000,2425.000000,2357.149902,2362.600098,2362.600098,4768334
2021-12-07,2376.149902,2404.000000,2360.000000,2381.850098,2381.850098,5185007
2021-12-08,2424.100098,2431.800049,2406.300049,2418.100098,2418.100098,4035437
2021-12-09,2435.000000,2474.899902,2425.000000,2456.449951,2456.449951,6098050
2021-12-10,2440.250000,2466.000000,2430.350098,2458.949951,2458.949951,3860176
2021-12-13,2473.500000,2474.100098,2404.000000,2409.649902,2409.649902,5954148
2021-12-14,2380.000000,2406.000000,2373.399902,2380.149902,2380.149902,5995586
2021-12-15,2384.000000,2405.000000,2361.100098,2373.199951,2373.199951,4322855
2021-12-16,2405.699951,2415.500000,2368.649902,2403.899902,2403.899902,4504829
2021-12-17,2398.050049,2408.000000,2320.000000,2340.449951,2340.449951,9714489
2021-12-20,2317.850098,2317.850098,2247.100098,2277.350098,2277.350098,6611376
2021-12-21,2311.350098,2346.000000,2292.199951,2311.250000,2311.250000,5924071
2021-12-22,2324.899902,2371.899902,2322.000000,2366.100098,2366.100098,8149415
2021-12-23,2374.000000,2380.000000,2358.050049,2365.250000,2365.250000,4186912
2021-12-24,2370.000000,2392.000000,2337.550049,2372.800049,2372.800049,3639616
2021-12-27,2361.550049,2378.000000,2348.100098,2370.250000,2370.250000,1853948
2021-12-28,2375.600098,2404.850098,2373.050049,2398.399902,2398.399902,2941883
2021-12-29,2391.000000,2419.000000,2382.100098,2402.500000,2402.500000,7118779
2021-12-30,2400.000000,2404.949951,2345.600098,2359.100098,2359.100098,13537254
2021-12-31,2373.000000,2383.899902,2360.000000,2368.149902,2368.149902,4373768
2022-01-03,2365.000000,2407.949951,2363.550049,2403.850098,2403.850098,2502073
2022-01-04,2415.899902,2461.000000,2404.000000,2458.100098,2458.100098,5006225
2022-01-05,2462.000000,2477.000000,2432.949951,2469.600098,2469.600098,5373618
2022-01-06,2451.199951,2454.000000,2409.000000,2416.500000,2416.500000,6667483
2022-01-07,2430.949951,2458.050049,2411.550049,2436.000000,2436.000000,6051239
2022-01-10,2452.000000,2457.000000,2416.050049,2438.000000,2438.000000,4267365
